BehaviorSpace results (NetLogo 6.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UrbanTransportationSystem.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transportation experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/10/2017 17:53:49:932 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
initial-people-num,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
taxi-detect-distance,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,
has-car-ratio,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,
traffic-light-cycle,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,4,8,12,16,20,
[steps],6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[initial & final values],analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen,analyze-citizen
,682.7932234,655.9020548,582.5679149,485.204482,683.3735328,60.02468537,65.16035921,71.14127414,70.20256236,83.47537199,470.7260013,360.5744963,428.1421123,353.7737962,335.7850641,54.58382228,67.23507975,64.07869632,68.17708298,83.99669281,283.3285309,258.2751589,244.598082,320.3684944,368.6554737,61.03379661,69.00879708,68.17542575,63.22945322,75.86117827,295.0066462,349.5063902,337.8908788,349.3138262,278.1441298,54.21234338,66.53992708,72.97678845,67.04322608,83.29695039,289.0146347,383.8272664,347.00922,289.8315742,285.0092484,58.60402639,65.20549563,73.09596062,69.15060498,69.10282907,717.3955455,799.6096879,808.3011348,775.9864867,825.1790454,82.18980538,83.34594293,84.26304463,88.1456221,87.46664942,688.4955611,748.7560019,763.1587831,768.9363967,771.7850301,94.39484952,81.72551325,85.03012787,85.39648985,89.52371559,736.6965783,755.5875349,737.3975778,729.0919331,758.3319328,82.17866125,89.31826713,83.74962244,84.92922693,89.96317838,689.0124994,749.4730581,719.1962077,722.0259295,738.0023065,85.86369638,85.41764904,81.8528336,87.67096278,91.89985615,688.0604354,741.9914232,789.2136946,746.0275802,780.0441806,77.26442028,86.03088812,85.12978332,91.86739975,90.44439972
,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi,analyze-taxi
,6.155555556,9.530555556,8.788888889,9.855555556,8.011111111,0,0,0,0,0,13.08055556,16.61388889,16.88055556,20.25,16.38888889,0,0,0,0,0,19.50277778,26.03333333,25.23333333,28.34166667,24.88888889,0,0,0,0,0,30.38611111,38.925,33.86111111,34.18888889,39.86944444,0,0,0,0,0,37.34722222,41,39.24722222,40.48611111,40.94444444,0,0,0,0,0,29.95,33.47777778,28.66388889,33.30277778,30.26666667,0,0,0,0,0,45.16388889,51.66111111,48.48888889,46.20833333,47.60833333,0,0,0,0,0,50.72222222,54.56388889,51.90833333,52.52222222,51.65833333,0,0,0,0,0,52.84722222,55.79166667,53.09722222,52.33611111,51.33055556,0,0,0,0,0,51.625,53.83333333,51.62777778,53.5,52.11944444,0,0,0,0,0
